date,time,wind speed,wind direction,temperature,humidity,rain counter
27-2-2018,0:24:17,1.0,NW,52.0,89,97
27-2-2018,0:24:32,0.0,NNW,52.0,89,97
27-2-2018,0:24:47,0.0,NNW,52.0,89,97
27-2-2018,0:25:2,1.0,NW,52.0,89,97
27-2-2018,0:25:17,1.0,NW,52.0,89,97
27-2-2018,0:25:32,1.0,NW,52.0,89,97
27-2-2018,0:25:47,1.5,W,52.0,89,97
27-2-2018,0:26:2,1.5,W,52.0,89,97
27-2-2018,0:26:17,1.5,S,52.0,89,97
27-2-2018,0:26:32,1.0,S,51.8,89,97
27-2-2018,0:26:47,1.0,S,51.8,89,97
27-2-2018,0:27:2,2.0,SW,51.8,89,97
27-2-2018,0:27:17,2.0,SW,51.8,89,97
27-2-2018,0:27:32,2.5,SW,51.8,89,97
27-2-2018,0:27:47,1.5,SW,51.6,89,97
27-2-2018,0:28:2,2.5,SSW,51.6,89,97
27-2-2018,0:28:17,2.5,SSW,51.6,89,97
27-2-2018,0:28:32,3.0,SSW,51.6,89,97
27-2-2018,0:28:47,3.5,SW,51.6,89,97
27-2-2018,0:29:2,3.5,SW,51.6,89,97
27-2-2018,0:29:17,3.0,SW,51.6,89,97
27-2-2018,0:29:32,2.0,SW,51.6,89,97
27-2-2018,0:29:47,2.0,SW,51.6,89,97
27-2-2018,0:30:2,0.5,SW,51.6,89,97
27-2-2018,0:30:17,1.5,SW,51.6,89,97
27-2-2018,0:30:32,1.5,SW,51.6,89,97
27-2-2018,0:30:47,1.5,SW,51.6,89,97
27-2-2018,0:31:2,2.0,SW,51.6,89,97
27-2-2018,0:31:17,2.0,SW,51.6,89,97
27-2-2018,0:31:32,2.0,SW,51.6,89,97
27-2-2018,0:31:47,1.0,SW,51.6,89,97
27-2-2018,0:32:2,1.0,SW,51.6,89,97
27-2-2018,0:32:17,0.0,SW,51.6,89,97
27-2-2018,0:32:32,0.0,SW,51.6,89,97
27-2-2018,0:32:47,0.0,SW,51.6,89,97
27-2-2018,0:33:2,0.0,SW,51.6,89,97
27-2-2018,0:33:17,1.0,SW,51.6,89,97
27-2-2018,0:33:32,3.5,WSW,51.6,89,97
27-2-2018,0:33:47,2.5,WSW,51.6,89,97
27-2-2018,0:34:2,3.0,WSW,51.6,89,97
27-2-2018,0:34:17,3.0,WSW,51.6,89,97
27-2-2018,0:34:32,2.0,WSW,51.6,89,97
27-2-2018,0:34:47,2.0,WSW,51.6,89,97
27-2-2018,0:35:2,3.0,SW,51.6,89,97
27-2-2018,0:35:17,3.0,SW,51.8,89,97
27-2-2018,0:35:32,2.0,SW,51.8,89,97
27-2-2018,0:35:47,2.0,SW,51.8,89,97
27-2-2018,0:36:2,1.5,SW,51.8,89,97
27-2-2018,0:36:17,1.5,SW,51.8,89,97
27-2-2018,0:36:32,1.0,SW,51.6,89,97
27-2-2018,0:36:47,1.5,S,51.6,89,97
27-2-2018,0:37:2,1.5,S,51.6,89,97
27-2-2018,0:37:17,1.5,S,51.6,89,97
27-2-2018,0:37:32,1.5,SSW,51.6,89,97
27-2-2018,0:37:47,1.5,SSW,51.6,89,97
27-2-2018,0:38:2,1.5,SSW,51.6,89,97
27-2-2018,0:38:17,1.0,SSW,51.6,89,97
27-2-2018,0:38:32,1.5,WSW,51.6,89,97
27-2-2018,0:38:47,1.5,WSW,51.6,89,97
27-2-2018,0:39:2,1.5,WSW,51.4,89,97
27-2-2018,0:39:17,1.5,W,51.4,89,97
27-2-2018,0:39:32,1.0,W,51.4,89,97
27-2-2018,0:39:47,2.0,SW,51.4,89,97
27-2-2018,0:40:2,2.0,SW,51.4,89,97
27-2-2018,0:40:17,2.0,SW,51.4,89,97
27-2-2018,0:40:32,2.5,WSW,51.4,89,97
27-2-2018,0:40:47,2.0,WSW,51.3,89,97
27-2-2018,0:41:2,1.5,SW,51.3,89,97
27-2-2018,0:41:17,1.5,SW,51.3,89,97
27-2-2018,0:41:32,4.0,S,51.3,89,97
27-2-2018,0:41:47,4.0,S,51.3,89,97
27-2-2018,0:42:2,3.5,S,51.3,89,97
27-2-2018,0:42:18,2.0,SW,51.3,89,97
27-2-2018,0:42:33,3.0,SW,51.3,89,97
27-2-2018,0:42:48,3.0,SSW,51.3,89,97
27-2-2018,0:43:3,4.0,SSW,51.4,89,97
27-2-2018,0:43:18,4.0,SSW,51.4,89,97
27-2-2018,0:43:33,3.5,SW,51.4,89,97
27-2-2018,0:43:48,3.5,SW,51.4,89,97
27-2-2018,0:44:3,4.0,WSW,51.4,89,97
27-2-2018,0:44:18,1.5,WSW,51.4,89,97
27-2-2018,0:44:33,3.5,SW,51.4,89,97
27-2-2018,0:44:48,3.5,SW,51.4,89,97
27-2-2018,0:45:3,3.0,SW,51.4,89,97
27-2-2018,0:45:18,1.5,SW,51.4,89,97
27-2-2018,0:45:33,3.5,SW,51.4,89,97
27-2-2018,0:45:48,3.0,WSW,51.4,89,97
27-2-2018,0:46:3,3.0,WSW,51.4,89,97
27-2-2018,0:46:18,3.0,WSW,51.4,89,97
27-2-2018,0:46:33,3.0,WSW,51.4,89,97
27-2-2018,0:46:48,3.5,WSW,51.4,89,97
27-2-2018,0:47:3,2.5,WSW,51.4,89,97
27-2-2018,0:47:18,2.0,WSW,51.4,89,97
27-2-2018,0:47:33,1.5,WSW,51.4,89,97
27-2-2018,0:47:48,1.5,WSW,51.4,89,97
27-2-2018,0:48:3,0.5,WSW,51.4,89,97
27-2-2018,0:48:18,1.0,WSW,51.4,89,97
27-2-2018,0:48:33,2.0,WSW,51.4,89,97
27-2-2018,0:48:48,2.0,SW,51.4,89,97
27-2-2018,0:49:3,1.5,SW,51.4,89,97
27-2-2018,0:49:18,1.5,SW,51.4,89,97
27-2-2018,0:49:33,2.0,WSW,51.4,89,97
27-2-2018,0:49:48,2.5,WSW,51.4,89,97
27-2-2018,0:50:3,3.5,WSW,51.4,89,97
27-2-2018,0:50:18,3.5,WSW,51.4,89,97
27-2-2018,0:50:33,3.5,SW,51.4,89,97
27-2-2018,0:50:48,3.5,SW,51.4,89,97
27-2-2018,0:51:3,3.0,SW,51.4,89,97
27-2-2018,0:51:18,4.0,SW,51.4,89,97
27-2-2018,0:51:33,2.5,SW,51.4,89,97
27-2-2018,0:51:48,2.5,SW,51.4,89,97
27-2-2018,0:52:3,4.0,SW,51.4,89,97
27-2-2018,0:52:18,4.0,SW,51.4,89,97
27-2-2018,0:52:33,2.5,W,51.4,89,97
27-2-2018,0:52:48,2.0,W,51.4,89,97
27-2-2018,0:53:3,3.5,W,51.4,89,97
27-2-2018,0:53:18,3.0,W,51.4,89,97
27-2-2018,0:53:33,2.0,W,51.4,89,97
27-2-2018,0:53:48,2.0,W,51.4,89,97
27-2-2018,0:54:3,1.0,W,51.4,89,97
27-2-2018,0:54:18,1.0,W,51.4,89,97
27-2-2018,0:54:33,2.0,W,51.4,89,97
27-2-2018,0:54:48,1.5,W,51.4,89,97
27-2-2018,0:55:3,1.0,W,51.4,89,97
27-2-2018,0:55:18,1.0,W,51.4,89,97
27-2-2018,0:55:33,1.0,W,51.4,89,97
27-2-2018,0:55:48,1.0,W,51.4,89,97
27-2-2018,0:56:3,1.0,W,51.4,89,97
27-2-2018,0:56:18,0.0,W,51.4,89,97
27-2-2018,0:56:33,1.0,W,51.4,89,97
27-2-2018,0:56:48,1.0,W,51.4,89,97
27-2-2018,0:57:3,1.5,W,51.3,89,97
27-2-2018,0:57:18,2.0,W,51.3,89,97
27-2-2018,0:57:33,2.5,W,51.3,89,97
27-2-2018,0:57:48,2.5,W,51.3,89,97
27-2-2018,0:58:3,1.5,W,51.3,89,97
27-2-2018,0:58:18,1.5,W,51.3,89,97
27-2-2018,0:58:33,2.5,W,51.3,89,97
27-2-2018,0:58:48,2.0,W,51.3,89,97
27-2-2018,0:59:3,0.5,W,51.3,89,97
27-2-2018,0:59:18,0.0,W,51.3,89,97
27-2-2018,0:59:33,0.0,W,51.3,89,97
27-2-2018,0:59:48,0.0,W,51.3,89,97
27-2-2018,1:0:3,1.5,W,51.1,89,97
27-2-2018,1:0:18,1.5,W,51.1,89,97
27-2-2018,1:0:33,0.5,W,51.1,89,97
27-2-2018,1:0:48,0.0,W,51.1,89,97
27-2-2018,1:1:3,0.5,W,51.1,89,97
27-2-2018,1:1:18,0.5,W,51.1,89,97
27-2-2018,1:1:33,1.0,W,51.1,89,97
27-2-2018,1:1:48,0.5,W,50.9,89,97
27-2-2018,1:2:3,0.5,W,50.9,89,97
27-2-2018,1:2:18,0.5,W,50.9,89,97
27-2-2018,1:2:33,0.0,W,50.9,89,97
27-2-2018,1:2:48,0.0,W,50.9,89,97
27-2-2018,1:3:3,0.0,W,50.9,89,97
27-2-2018,1:3:18,2.0,W,50.9,89,97
27-2-2018,1:3:33,3.5,W,50.9,89,97
27-2-2018,1:3:48,3.0,W,50.9,89,97
27-2-2018,1:4:3,1.0,W,50.9,89,97
27-2-2018,1:4:18,1.0,W,50.9,89,97
27-2-2018,1:4:33,1.5,W,50.9,89,97
27-2-2018,1:4:48,2.5,W,50.9,89,97
27-2-2018,1:5:3,3.5,NNW,50.9,89,97
27-2-2018,1:5:18,4.0,NNW,50.9,89,97
27-2-2018,1:5:33,3.5,NW,50.9,89,97
27-2-2018,1:5:48,3.5,NW,50.9,89,97
27-2-2018,1:6:3,3.0,NW,51.1,89,97
27-2-2018,1:6:18,2.5,NW,51.1,89,97
27-2-2018,1:6:33,2.0,NW,51.1,89,97
27-2-2018,1:6:48,2.0,NW,51.1,89,97
27-2-2018,1:7:3,3.0,NW,51.1,89,97
27-2-2018,1:7:18,3.0,NW,51.1,89,97
27-2-2018,1:7:33,3.5,SW,51.1,89,97
27-2-2018,1:7:48,3.5,SW,51.1,89,97
27-2-2018,1:8:3,3.5,SW,51.1,89,97
27-2-2018,1:8:18,4.0,SW,51.1,89,97
27-2-2018,1:8:33,3.0,W,51.1,89,97
27-2-2018,1:8:48,3.0,W,51.1,89,97
27-2-2018,1:9:3,3.0,W,51.1,89,97
27-2-2018,1:9:18,3.5,WSW,51.1,89,97
27-2-2018,1:9:33,4.0,WSW,51.1,89,97
27-2-2018,1:9:48,4.0,WSW,51.1,89,97
27-2-2018,1:10:3,3.0,WSW,51.1,89,97
27-2-2018,1:10:18,3.0,WSW,51.1,89,97
27-2-2018,1:10:33,1.5,WNW,51.1,89,97
27-2-2018,1:10:48,2.5,WNW,51.1,89,97
27-2-2018,1:11:3,4.0,NNE,51.1,89,97
27-2-2018,1:11:18,2.5,NNE,50.9,89,97
27-2-2018,1:11:33,0.5,NNE,50.9,89,97
27-2-2018,1:11:48,0.5,NNE,50.9,89,97
27-2-2018,1:12:3,0.0,NNE,50.9,89,97
27-2-2018,1:12:18,3.0,SSW,50.9,89,97
27-2-2018,1:12:33,2.5,SSW,50.9,89,97
27-2-2018,1:12:48,2.0,SW,50.9,89,97
27-2-2018,1:13:3,1.5,SW,50.9,89,97
27-2-2018,1:13:18,1.5,SW,50.9,89,97
27-2-2018,1:13:33,1.5,S,50.9,89,97
27-2-2018,1:13:48,1.5,S,50.9,89,97
27-2-2018,1:14:3,1.5,SSW,50.9,89,97
27-2-2018,1:14:18,1.5,SSW,50.7,89,97
27-2-2018,1:14:33,2.0,SSW,50.7,89,97
27-2-2018,1:14:48,2.0,SSW,50.7,89,97
27-2-2018,1:15:3,1.5,SSW,50.7,89,97
27-2-2018,1:15:18,1.5,SSW,50.7,89,97
27-2-2018,1:15:33,2.5,SSW,50.7,89,97
27-2-2018,1:15:48,2.5,S,50.7,89,97
27-2-2018,1:16:3,2.0,S,50.7,89,97
27-2-2018,1:16:18,2.0,S,50.7,89,97
27-2-2018,1:16:33,2.0,SW,50.7,89,97
27-2-2018,1:16:48,1.5,SW,50.7,89,97
27-2-2018,1:17:3,1.0,SW,50.7,89,97
27-2-2018,1:17:18,0.0,SW,50.7,89,97
